id,name,short,elo
ARS,Arsenal,ARS,
AVL,Aston Villa,AVL,
BHA,Brighton & Hove Albion,BHA,
BUR,Burnley,BUR,
CHE,Chelsea,CHE,
CRY,Crystal Palace,CRY,
EVE,Everton,EVE,
FUL,Fulham,FUL,
LEE,Leeds United,LEE,
LEI,Leicester City,LEI,
LIV,Liverpool,LIV,
MCI,Manchester City,MCI,
MUN,Manchester United,MUN,
NEW,Newcastle United,NEW,
SHU,Sheffield United,SHU,
SOU,Southampton,SOU,
TOT,Tottenham Hotspur,TOT,
WBA,West Bromwich Albion,WBA,
WHU,West Ham United,WHU,
WOL,Wolverhampton Wanderers,WOL,
