id,player_id,player_name,from_club,to_club,fee,date
trf_217111_2020,,Hakim Ziyech,,CHE,34.4,2020-07-01
trf_60444_2020,,Thiago Alcántara,,LIV,18.9,2020-09-18
trf_173900_2020,,Hélder Costa,WOL,LEE,15.2,2020-07-01
trf_649452_2020,,Issa Kaboré,,MCI,3.9,2020-07-29
trf_257097_2020,,Ben Davies,,LIV,1.6,2021-02-01
trf_59866_2020,,Victor Moses,,CHE,0.0,2021-06-30
trf_85864_2020,,Loris Karius,,LIV,0.0,2021-06-30
trf_147034_2020,,Marco van Ginkel,,CHE,0.0,2021-06-30
trf_182618_2020,,Tiemoué Bakayoko,,CHE,0.0,2021-06-30
trf_265078_2020,,Patrick Cutrone,,WOL,0.0,2021-06-30
trf_293168_2020,,Filip Benkovic,,LEI,0.0,2021-06-30
trf_293283_2020,,Oskar Buur,,WOL,0.0,2021-06-30
trf_344830_2020,,Tahith Chong,,MUN,0.0,2021-06-30
trf_415646_2020,,Bruno Jordão,,WOL,0.0,2021-06-30
trf_649452_2020,,Issa Kaboré,,MCI,0.0,2021-06-30
trf_91854_2020,,Barry Douglas,BLB,LEE,0.0,2021-05-31
trf_236510_2020,,Sheyi Ojo,CAR,LIV,0.0,2021-05-31
trf_260841_2020,,Daniel Iversen,,LEI,0.0,2021-05-31
trf_286919_2020,,Josh Sims,,SOU,0.0,2021-05-31
trf_406638_2020,,Oliver Skipp,NOR,TOT,0.0,2021-05-31
trf_503977_2020,,Taylor Harwood-Bellis,BLB,MCI,0.0,2021-05-31
trf_504581_2020,,Ryan Giles,,WOL,0.0,2021-05-31
trf_559794_2020,,Jack Clarke,STK,TOT,0.0,2021-05-31
trf_548470_2020,,Teden Mengi,DER,MUN,0.0,2021-04-19
trf_344830_2020,,Tahith Chong,,MUN,0.0,2021-01-30
