id,matchday,date,home,away,fhg,fag
0,1,2024-08-16,MUN,FUL,1,0
1,1,2024-08-17,IPS,LIV,0,2
2,1,2024-08-17,ARS,WOL,2,0
3,1,2024-08-17,EVE,BHA,0,3
4,1,2024-08-17,NEW,SOU,1,0
5,1,2024-08-17,NFO,BOU,1,1
6,1,2024-08-17,WHU,AVL,1,2
7,1,2024-08-18,BRE,CRY,2,1
8,1,2024-08-18,CHE,MCI,0,2
9,1,2024-08-19,LEI,TOT,1,1
10,2,2024-08-24,AVL,ARS,0,2
11,2,2024-08-24,BHA,MUN,2,1
12,2,2024-08-24,CRY,WHU,0,2
13,2,2024-08-24,FUL,LEI,2,1
14,2,2024-08-24,MCI,IPS,4,1
15,2,2024-08-24,SOU,NFO,0,1
16,2,2024-08-24,TOT,EVE,4,0
17,2,2024-08-25,BOU,NEW,1,1
18,2,2024-08-25,LIV,BRE,2,0
19,2,2024-08-25,WOL,CHE,2,6
20,3,2024-08-31,ARS,BHA,1,1
21,3,2024-08-31,BRE,SOU,3,1
22,3,2024-08-31,EVE,BOU,2,3
23,3,2024-08-31,IPS,FUL,1,1
24,3,2024-08-31,LEI,AVL,1,2
25,3,2024-08-31,NFO,WOL,1,1
26,3,2024-08-31,WHU,MCI,1,3
27,3,2024-09-01,CHE,CRY,1,1
28,3,2024-09-01,MUN,LIV,0,3
29,3,2024-09-01,NEW,TOT,2,1
30,4,2024-09-14,BOU,CHE,0,1
31,4,2024-09-14,AVL,EVE,3,2
32,4,2024-09-14,BHA,IPS,0,0
33,4,2024-09-14,CRY,LEI,2,2
34,4,2024-09-14,FUL,WHU,1,1
35,4,2024-09-14,LIV,NFO,0,1
36,4,2024-09-14,MCI,BRE,2,1
37,4,2024-09-14,SOU,MUN,0,3
38,4,2024-09-15,TOT,ARS,0,1
39,4,2024-09-15,WOL,NEW,1,2
40,5,2024-09-21,AVL,WOL,3,1
41,5,2024-09-21,CRY,MUN,0,0
42,5,2024-09-21,FUL,NEW,3,1
43,5,2024-09-21,LEI,EVE,1,1
44,5,2024-09-21,LIV,BOU,3,0
45,5,2024-09-21,SOU,IPS,1,1
46,5,2024-09-21,TOT,BRE,3,1
47,5,2024-09-21,WHU,CHE,0,3
48,5,2024-09-22,BHA,NFO,2,2
49,5,2024-09-22,MCI,ARS,2,2
50,6,2024-09-28,ARS,LEI,4,2
51,6,2024-09-28,BRE,WHU,1,1
52,6,2024-09-28,CHE,BHA,4,2
53,6,2024-09-28,EVE,CRY,2,1
54,6,2024-09-28,NEW,MCI,1,1
55,6,2024-09-28,NFO,FUL,0,1
56,6,2024-09-28,WOL,LIV,1,2
57,6,2024-09-29,IPS,AVL,2,2
58,6,2024-09-29,MUN,TOT,0,3
59,6,2024-09-30,BOU,SOU,3,1
60,7,2024-10-05,ARS,SOU,3,1
61,7,2024-10-05,BRE,WOL,5,3
62,7,2024-10-05,CRY,LIV,0,1
63,7,2024-10-05,EVE,NEW,0,0
64,7,2024-10-05,LEI,BOU,1,0
65,7,2024-10-05,MCI,FUL,3,2
66,7,2024-10-05,WHU,IPS,4,1
67,7,2024-10-06,AVL,MUN,0,0
68,7,2024-10-06,BHA,TOT,3,2
69,7,2024-10-06,CHE,NFO,1,1
70,8,2024-10-19,BOU,ARS,2,0
71,8,2024-10-19,FUL,AVL,1,3
72,8,2024-10-19,IPS,EVE,0,2
73,8,2024-10-19,MUN,BRE,2,1
74,8,2024-10-19,NEW,BHA,0,1
75,8,2024-10-19,SOU,LEI,2,3
76,8,2024-10-19,TOT,WHU,4,1
77,8,2024-10-20,LIV,CHE,2,1
78,8,2024-10-20,WOL,MCI,1,2
79,8,2024-10-21,NFO,CRY,1,0
80,9,2024-10-25,LEI,NFO,1,3
81,9,2024-10-26,AVL,BOU,1,1
82,9,2024-10-26,BRE,IPS,4,3
83,9,2024-10-26,BHA,WOL,2,2
84,9,2024-10-26,EVE,FUL,1,1
85,9,2024-10-26,MCI,SOU,1,0
86,9,2024-10-27,ARS,LIV,2,2
87,9,2024-10-27,CHE,NEW,2,1
88,9,2024-10-27,WHU,MUN,2,1
89,9,2024-10-27,CRY,TOT,1,0
90,10,2024-11-02,BOU,MCI,2,1
91,10,2024-11-02,IPS,LEI,1,1
92,10,2024-11-02,LIV,BHA,2,1
93,10,2024-11-02,NEW,ARS,1,0
94,10,2024-11-02,NFO,WHU,3,0
95,10,2024-11-02,SOU,EVE,1,0
